State,City,ZIP code,Total College-Educated Millennials,Millennial Percentage,,,,,,,,,,,,,
WA,Seattle,98107,"5,553",29%,,,,,,,,,,,,,
NY,New York,10036,"5,527",26%,,,,,,,,,,,,,
IL,Chicago,60605,"5,498",26%,,,,,,,,,,,,,
GA,Atlanta,30324,"5,466",24%,,,,,,,,,,,,,
VA,Arlington,22206,"5,383",32%,,,,,,,,,,,,,
WA,Bellevue,98007,"5,373",26%,,,,,,,,,,,,,
MA,Boston,02116,"5,304",27%,,,,,,,,,,,,,
CA,San Francisco,94133,"5,080",20%,,,,,,,,,,,,,
NY,New York,10075,"5,044",24%,,,,,,,,,,,,,
MA,Boston,02118,"5,013",22%,,,,,,,,,,,,,
MA,Allston,02134,"4,829",25%,,,,,,,,,,,,,
VA,Arlington,22209,"4,818",43%,,,,,,,,,,,,,
MI,Royal Oak,48067,"4,792",23%,,,,,,,,,,,,,
NY,New York,10017,"4,783",31%,,,,,,,,,,,,,
CA,Santa Monica,90405,"4,783",20%,,,,,,,,,,,,,
CA,Venice,90291,"4,755",20%,,,,,,,,,,,,,
CO,Denver,80218,"4,693",28%,,,,,,,,,,,,,
NY,Rochester,14620,"4,630",21%,,,,,,,,,,,,,
GA,Atlanta,30329,"4,536",22%,,,,,,,,,,,,,
CA,San Jose,95134,"4,533",37%,,,,,,,,,,,,,
CA,Pasadena,91101,"4,527",24%,,,,,,,,,,,,,
OH,Columbus,43202,"4,446",25%,,,,,,,,,,,,,
TX,Irving,75038,"4,432",21%,,,,,,,,,,,,,
GA,Atlanta,30339,"4,412",27%,,,,,,,,,,,,,
CA,Santa Monica,90403,"4,394",21%,,,,,,,,,,,,,
GA,Atlanta,30306,"4,311",24%,,,,,,,,,,,,,
CA,Santa Clara,95054,"4,307",25%,,,,,,,,,,,,,
CA,San Diego,92108,"4,283",26%,,,,,,,,,,,,,
NY,New York,10038,"4,167",23%,,,,,,,,,,,,,
NY,New York,10001,"4,091",22%,,,,,,,,,,,,,
NC,Morrisville,27560,"4,054",25%,,,,,,,,,,,,,
PA,Pittsburgh,15232,"4,045",35%,,,,,,,,,,,,,
FL,Miami,33131,"4,042",36%,,,,,,,,,,,,,
NY,Rochester,14607,"4,041",27%,,,,,,,,,,,,,
IA,Iowa City,52246,"4,037",23%,,,,,,,,,,,,,
CO,Denver,80209,"4,016",21%,,,,,,,,,,,,,
CO,Denver,80206,"3,994",22%,,,,,,,,,,,,,
MA,Cambridge,02140,"3,987",27%,,,,,,,,,,,,,
CA,Oakland,94609,"3,964",22%,,,,,,,,,,,,,
CA,Los Angeles,90048,"3,954",21%,,,,,,,,,,,,,
DC,Washington,20005,"3,950",34%,,,,,,,,,,,,,
MA,Boston,02114,"3,947",36%,,,,,,,,,,,,,
TX,Houston,77006,"3,914",22%,,,,,,,,,,,,,
OH,Columbus,43212,"3,890",25%,,,,,,,,,,,,,
MA,Charlestown,02129,"3,866",28%,,,,,,,,,,,,,
TX,Austin,78703,"3,864",24%,,,,,,,,,,,,,
TX,Irving,75039,"3,838",40%,,,,,,,,,,,,,
VA,Ashburn,20148,"3,819",21%,,,,,,,,,,,,,
NC,Charlotte,28209,"3,814",22%,,,,,,,,,,,,,
GA,Atlanta,30305,"3,771",22%,,,,,,,,,,,,,
IA,West Des Moines,50266,"3,750",20%,,,,,,,,,,,,,
OR,Portland,97209,"3,645",28%,,,,,,,,,,,,,
CA,Sunnyvale,94085,"3,633",21%,,,,,,,,,,,,,
CA,Hermosa Beach,90254,"3,602",22%,,,,,,,,,,,,,
MD,Baltimore,21231,"3,580",26%,,,,,,,,,,,,,
TX,Houston,77019,"3,576",22%,,,,,,,,,,,,,
MA,Brookline,02445,"3,526",21%,,,,,,,,,,,,,
GA,Atlanta,30308,"3,508",24%,,,,,,,,,,,,,
OH,Cincinnati,45208,"3,500",23%,,,,,,,,,,,,,
UT,Salt Lake City,84102,"3,450",22%,,,,,,,,,,,,,
PA,Philadelphia,19107,"3,415",30%,,,,,,,,,,,,,
VA,Alexandria,22302,"3,389",23%,,,,,,,,,,,,,
IL,Chicago,60661,"3,383",49%,,,,,,,,,,,,,
CA,Irvine,92602,"3,368",21%,,,,,,,,,,,,,
NC,Carrboro,27510,"3,363",29%,,,,,,,,,,,,,
MN,Minneapolis,55403,"3,359",25%,,,,,,,,,,,,,
MA,Cambridge,02141,"3,322",30%,,,,,,,,,,,,,
GA,Atlanta,30312,"3,305",22%,,,,,,,,,,,,,
PA,Conshohocken,19428,"3,298",24%,,,,,,,,,,,,,
